Plot_Number,Treatment,Robbing,Florivory,Pollination,Early_Season_Anthocyanins,Late_Season_Anthocyanins,Change_in_Anthocyanins,Early_Season_Condensed_Tannins,Late_Season_Condensed_Tannins,Change_in_Condensed_Tannins,Early_Season_Flower_Redness,Late_Season_Flower_Redness,Change_in_Flower_Redness,Flower_Color_Category,Flower_Spur_Length,Flower_Length,Flower_Lip_Height,Flower_Lip_Width,Flower_Opening_Height,Flower_Opening_Width,Flower_Lip_Area,Flower_Opening_Area,Flower_Size_PC1,Average_CH_Fruits_Per_Day,Mature_CH_Fruits_Per_Day,Average_CL_Fruits_Per_Day,Mature_CL_Fruits_Per_Day,Total_Fruits_Per_Day,Total_Mature_Fruits_Per_Day,Proportion_of_Fruits_CH,Ratio_of_CH_to_CL_Fruits,Average_Seeds_Per_CH_Fruit,Average_Seeds_Per_CL_Fruit,Average_CH_Seed_Mass,Average_CL_Seed_Mass,Average_Percent_Leaf_Damage,Average_Herbivore_Density,Average_Herbivore_Richness,Average_Nectar_Volume,Maximum_Plant_Height,Maximum_Number_of_Nodes,Average_CL_Flowers_Per_Day,Average_Leaf_Area,Pollinators_Per_Hour,Robbers_Per_Hour,Thieves_Per_Hour,Proportion_Flowers_Visited_by_Pollinators,Proportion_Flowers_Visited_by_Robbers,Proportion_Flowers_Visited_by_Thieves,Date_of_First_CH_Flower,Total_CH_Flower_Production,Average_CH_Flowers_Per_Day,Average_Percent_Florivory
123,Control,N,N,N,7.972222222,6.458333333,-1.513888889,66.4,54.88773748,11.51226252,10.02223996,2.966978464,7.055261495,yellow,7.96,17.036,7.788,12.674,5.338,5.624,102.75744,30.03444,-0.457836881,5.833333333,0,2.833333333,0,8.666666667,0,0.673076923,2.058823529,5,2,0.0231,0.0041,0.5,5,3,5.755347092,81,14,5.666666667,21.11166667,NA,NA,NA,NA,NA,NA,215,198,4.212765957,0
124,Florivory,N,Y,N,1.361940299,2.819314642,1.457374343,81.28787879,62.32,18.96787879,9.665239262,5.806301006,3.858938257,yellow,8.16,17.38571429,7.397142857,12.32857143,5.632857143,4.774285714,93.19958571,26.67105714,-0.559606078,8,0.333333333,2.333333333,0.166666667,10.33333333,0.5,0.774193548,3.428571429,3,NA,0.023,NA,4.375,7,2,6.492682927,82,16,5.333333333,16.97666667,0,0,4,0,0,1,193,261,5.553191489,0
125,PollRob,Y,N,Y,14.12820513,NA,NA,16.84210526,NA,NA,5.287846309,NA,NA,yellow,8.285,16.7175,6.88875,12.925,5.235,4.94375,94.635725,25.88815,-0.694945283,0.4,0,4.2,1,4.6,1,0.086956522,0.095238095,NA,2.25,NA,0.012925,2,16,2,NA,80.5,22,1.333333333,18.445,NA,NA,NA,NA,NA,NA,203,44,1.157894737,5
126,Pollination,N,N,Y,4.880239521,0.139652015,-4.740587506,151.6216216,40.03745318,111.5841684,63.02430169,87.46606616,-24.44176446,red,8.454,16.932,7.976,13.966,6.192,5.226,113.18968,32.34754,0.101578894,5.333333333,0.166666667,1.5,0.166666667,6.833333333,0.333333333,0.780487805,3.555555556,5,NA,0.0345,NA,9,7,4,4.230843496,87.7,21,0,25.32333333,NA,NA,NA,NA,NA,NA,221,174,3.70212766,1
127,RobFlor,Y,Y,N,12.56024096,7.901785714,-4.65845525,54.88888889,52.17391304,2.71497585,9.052795249,3.673036787,5.379758462,yellow,8.997142857,17.41142857,6.625714286,12.81,5.495714286,4.512857143,89.36827143,24.63415714,-0.442053574,11.16666667,0.333333333,6.833333333,1.333333333,18,1.666666667,0.62037037,1.634146341,5,1.857142857,0.04455,0.012214286,3.25,5,2,2.748882114,80.4,20,1,21.9,0,0,2,0,0,0.25,210,333,7.085106383,34
128,PollRob,Y,N,Y,0.737742303,6.33974359,5.602001286,89.44444444,107.0992366,-17.65479216,6.620153952,2.699743328,3.920410624,yellow,8.656666667,18.00666667,6.483333333,11.38666667,5.575,5.043333333,76.25806667,28.04416667,-0.859319939,9.666666667,0.333333333,5.5,1,15.16666667,1.333333333,0.637362637,1.757575758,3.333333333,1.5,0.0246,0.0095,0.125,3,1,6.570492788,83.8,22,0.666666667,25.31166667,NA,NA,NA,NA,NA,NA,221,215,4.574468085,0
129,PollRobFlor,Y,Y,Y,14.11220044,NA,NA,94.29078014,40.08130081,54.20947933,5.49581409,3.397044436,2.098769654,yellow,9.4025,18.5875,10.1,15.4975,6.1125,4.685,159.9532,28.6297,2.041999398,13.66666667,1.166666667,23,3.333333333,36.66666667,4.5,0.372727273,0.594202899,4.714285714,2.857142857,0.0312,0.02097619,0.125,2,2,2.3546875,82.7,19,7,21.38,NA,NA,NA,NA,NA,NA,193,222,4.723404255,7
130,Robbing,Y,N,N,14.64285714,8.171875,-6.470982143,19.77477477,41.01796407,-21.2431893,5.765044881,4.874583754,0.890461126,yellow,9.29,17.91,9.906666667,17.17333333,6.66,6.01,170.141,40.08466667,2.230771631,12.5,0,3.833333333,0.333333333,16.33333333,0.333333333,0.765306122,3.260869565,NA,3,NA,0.01545,1.875,0,0,7.185741088,89.3,22,0.333333333,26.34166667,NA,NA,NA,NA,NA,NA,223,312,6.638297872,0
131,PollRobFlor,Y,Y,Y,7.233502538,6.576923077,-0.656579461,NA,67.98449612,NA,10.84360294,5.575812819,5.267790118,yellow,9.63,16.62333333,9.896666667,15.34666667,5.863333333,4.84,153.9342667,28.36033333,1.515242663,7.5,3.5,3.666666667,0.5,11.16666667,4,0.671641791,2.045454545,NA,3.666666667,NA,0.017566667,1.25,6,3,4.79367378,81,21,0.333333333,20.645,NA,NA,NA,NA,NA,NA,211,163,3.468085106,NA
132,PollRob,Y,N,Y,NA,15.76550388,NA,44.34782609,NA,NA,54.71822886,56.50904967,-1.790820811,red,8.1525,17.1925,5.6175,11.2975,5.72625,5.09375,68.0659875,29.2766625,-1.557243866,11,0.166666667,3.166666667,0.166666667,14.16666667,0.333333333,0.776470588,3.473684211,5,3,0.0191,0.0098,20.75,7,2,0.328125,84.7,21,2,28.62333333,NA,NA,NA,NA,NA,NA,191,339,7.212765957,8
